clasificacion;descripcion;DESCRIPCION_LARGA||'XX'
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );HIPOACUSIA SUBITA IDIOPATICA;H91.2 / Hipoacusia súbita idiop ticaXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Sordomudez, no clasificada en otra parte;H91.3 / Sordomudez, no clasificada en otra parteXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Hipoacusia, no especificada ;H91.9 / Hipoacusia, no especificada Xx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );OTROS TRASTORNOS DEL OIDO, NO CLASIFICADOS EN OTRA PARTE;H93 / Otros trastornos del oído, no clasificados en otra parteXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );TRASTORNOS DEGENERATIVOS Y VASCULARES DEL OIDO;H93.0  / Trastornos degenerativos y vasculares del oídoXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Tinnitus;H93.1  / TinnitusXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Trastornos del nervio auditivo;H93.3 / Trastornos del nervio auditivoXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );OTROS TRASTORNOS ESPECIFICADOS DEL OIDO;H93.8 / Otros trastornos especificados del oídoXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );TRASTORNO DEL OIDO, NO ESPECIFICADO;H93.9  / Trastorno del oído, no especificadoXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );OTROS TRASTORNOS DEL OIDO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H94 / Otros trastornos del oído en enfermedades clasificadas en otra parteXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );OTROS TRASTORNOS ESPECIFICADOS DEL OIDO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H94.  / Otros trastornos especificados del oído en enfermedades clasificadas en otra parteXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );TRASTORNOS DEL OIDO Y DE LA APOFISIS MASTOIDES CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE;H95 / Trastornos del oído y de la apófisis mastoides consecutivos a procedimientos, no clasificados en otra parteXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );DISMINUCION INDETERMINADA DE LA AGUDEZA VISUAL EN AMBOS OJOS;H54.3  / Disminución indeterminada de la agudeza visual en ambos ojosXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );Ceguera de un ojo;H54.4  / Ceguera de un ojoXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );VISION SUBNORMAL DE UN OJO;H54.5  / Visión subnormal de un ojoXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );DISMINUCION INDETERMINADA DE LA AGUDEZA VISUAL DE UN OJO;H54.6  / Disminución indeterminada de la agudeza visual de un ojoXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );DISMINUCION DE LA AGUDEZA VISUAL, SIN ESPECIFICACION;H54.7  / Disminución de la agudeza visual, sin especificaciónXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );Nistagmo y otros movimientos oculares irregulares;H55  / Nistagmo y otros movimientos oculares irregularesXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );Otros trastornos del ojo y sus anexos;H57  / Otros trastornos del ojo y sus anexosXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );ANOMALIAS DE LA FUNCION PUPILAR;H57.0 / Anomalías de la función pupilarXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );Dolor ocular;H57.1 / Dolor ocularXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );Otros trastornos especificados del ojo y sus anexos;H57.8 / Otros trastornos especificados del ojo y sus anexosXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );Trastorno del ojo y sus anexos, no especificado;H57.9 / Trastorno del ojo y sus anexos, no especificadoXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );Otros trastornos del ojo y sus anexos en enfermedades clasificadas en otra parte;H58 / Otros trastornos del ojo y sus anexos en enfermedades clasificadas en otra parteXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );ANOMALÍAS DE LA FUNCION PUPILAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H58.0  / Anomalías de la función pupilar en enfermedades clasificadas en otra parteXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );ALTERACIONES DE LA VISION EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H58.1  / Alteraciones de la visión en enfermedades clasificadas en otra parteXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );Otros trastornos especificados del ojo en enfermedades clasificadas en otra parte;H58.8  / Otros trastornos especificados del ojo en enfermedades clasificadas en otra parteXx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );MIOPIA DEGENERATIVA;H44.2  / Miopía degenerativaXx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );Otros trastornos degenerativos del globo ocular;H44.3  / Otros trastornos degenerativos del globo ocularXx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );HIPOTONIA OCULAR;H44.4  / Hipotonía ocularXx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );Afecciones degenerativas del globo ocular;H44.5  / Afecciones degenerativas del globo ocularXx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );RETENCION INTRAOCULAR DE CUERPO EXTRAÑO MAGNETICO (ANTIGUO);H44.6  / Retención intraocular de cuerpo extra¤o magnético (antiguo)Xx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );RETENCION INTRAOCULAR DE CUERPO EXTRAÑO NO MAGNETICO (ANTIGUO);H44.7  / Retención intraocular de cuerpo extra¤o no magnético (antiguo)Xx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );Otros trastornos del globo ocular;H44.8  / Otros trastornos del globo ocularXx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );Trastorno del globo ocular, no especificado;H44.9 / Trastorno del globo ocular, no especificadoXx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );TRASTORNOS DEL CUERPO VITREO Y DEL GLOBO OCULAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H45 / Trastornos del cuerpo vítreo y del globo ocular en enfermedades clasificadas en otra parteXx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );HEMORRAGIA DEL VITREO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H45.0 / Hemorragia del vítreo en enfermedades clasificadas en otra parteXx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );Endoftalmitis en enfermedades clasificadas en otra parte;H45.1 / Endoftalmitis en enfermedades clasificadas en otra parteXx
AFECCIONES DEL CUERPO VÍTREO Y DEL GLOBO OCULAR (H43-H45 );OTROS TRASTORNOS DEL CUERPO VITREO Y DEL GLOBO OCULAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H45.8 / Otros trastornos del cuerpo vítreo y del globo ocular en enfermedades clasificadas en otra parteXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );NEURITIS OPTICA;H46 / Neuritis ópticaXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );ATROFIA OPTICA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H48.0 / Atrofia óptica en enfermedades clasificadas en otra parteXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );Neuritis retrobulbar en enfermedades clasificadas en otra parte;H48.1 / Neuritis retrobulbar en enfermedades clasificadas en otra parteXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );OFTALMOPLEJIA TOTAL (EXTERNA);H49.3 / Oftalmoplejía total (externa)Xx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );OFTALMOPLEJIA EXTERNA PROGRESIVA;H49.4 / Oftalmoplejía externa progresivaXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );OTROS ESTRABISMOS PARALITICOS;H49.8 / Otros estrabismos paralíticosXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Otros estrabismos;H50 / Otros estrabismosXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );HETEROTROPIA INTERMITENTE;H50.3 / Heterotropía intermitenteXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );OTRAS HETEROTROPIAS O LAS NO ESPECIFICADAS;H50.4 / Otras heterotropías o las no especificadasXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Heteroforia;H50.5 / HeteroforiaXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Otros estrabismos especificados;H50.8 / Otros estrabismos especificadosXx
NEUROPATIAS Y POLINEUROPATIAS ( G60-G64);POLINEUROPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;G63.8 / Polineuropatía en otras enfermedades clasificadas en otra parteXx
NEUROPATIAS Y POLINEUROPATIAS ( G60-G64);OTROS TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO;G64  / Otros trastornos del sistema nervioso periféricoXx
TRASTORNOS NEUROMUSCULARES ( G70-73);Miastenia gravis y otros trastornos neuromusculares;G70  / Miastenia gravis y otros trastornos neuromuscularesXx
TRASTORNOS NEUROMUSCULARES ( G70-73);Miastenia gravis;G70.0 / Miastenia gravisXx
TRASTORNOS NEUROMUSCULARES ( G70-73);TRASTORNOS TOXICOS NEUROMUSCULARES;G70.1  / Trastornos tóxicos neuromuscularesXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIASTENIA CONGENITA O DEL DESARROLLO;G70.2  / Miastenia congénita o del desarrolloXx
TRASTORNOS NEUROMUSCULARES ( G70-73);Otros trastornos neuromusculares especificados;G70.8  / Otros trastornos neuromusculares especificadosXx
TRASTORNOS NEUROMUSCULARES ( G70-73);Trastorno neuromuscular, no especificado ;G70.9  / Trastorno neuromuscular, no especificado Xx
TRASTORNOS NEUROMUSCULARES ( G70-73);Trastornos musculares primarios;G71  / Trastornos musculares primariosXx
TRASTORNOS NEUROMUSCULARES ( G70-73);Distrofia muscular;G71.0  / Distrofia muscularXx
TRASTORNOS NEUROMUSCULARES ( G70-73);TRASTORNOS MIOTONICOS;G71.1 / Trastornos miotónicosXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIAS CONGENITAS;G71.2 / Miopatías congénitasXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIA MITOCONDRICA, NO CLASIFICADA EN OTRA PARTE;G71.3 / Miopatía mitocóndrica, no clasificada en otra parteXx
TRASTORNOS NEUROMUSCULARES ( G70-73);OTROS TRASTORNOS PRIMARIOS DE LOS MUSCULOS;G71.8  / Otros trastornos primarios de los músculosXx
TRASTORNOS NEUROMUSCULARES ( G70-73);TRASTORNO PRIMARIO DEL MUSCULO, TIPO NO ESPECIFICADO;G71.9 / Trastorno primario del músculo, tipo no especificadoXx
TRASTORNOS NEUROMUSCULARES ( G70-73);OTRAS MIOPATIAS;G72  / Otras miopatíasXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIA INDUCIDA POR DROGAS;G72.0  / Miopatía inducida por drogasXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIA ALCOHOLICA;G72.1 / Miopatía alcohólicaXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIA DEBIDA A OTROS AGENTES TOXICOS;G72.2  / Miopatía debida a otros agentes tóxicosXx
TRASTORNOS NEUROMUSCULARES ( G70-73);PARALISIS PERIODICA;G72.3  / Parálisis periódicaXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIA INFLAMATORIA, NO CLASIFICADA EN OTRA PARTE;G72.4  / Miopatía inflamatoria, no clasificada en otra parteXx
TRASTORNOS NEUROMUSCULARES ( G70-73);OTRAS MIOPATIAS ESPECIFICADAS;G72.8  / Otras miopatías especificadasXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIA, NO ESPECIFICADA;G72.9 / Miopatía, no especificadaXx
TRASTORNOS NEUROMUSCULARES ( G70-73);TRASTORNOS DEL MUSCULO Y DE LA UNION NEUROMUSCULAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;G73*  / Trastornos del músculo y de la unión neuromuscular en enfermedades clasificadas en otra parteXx
TRASTORNOS NEUROMUSCULARES ( G70-73);SINDROMES MIASTENICOS EN ENFERMEDADES ENDOCRINAS;G73.0  / Síndromes miasténicos en enfermedades endocrinasXx
TRASTORNOS NEUROMUSCULARES ( G70-73);SINDROME DE EATON-LAMBERT (C80+);G73.1  / Síndrome de Eaton-Lambert (C80+)Xx
TRASTORNOS NEUROMUSCULARES ( G70-73);OTROS SINDROMES MIASTENICOS EN ENFERMEDAD NEOPL SICA (C00-D48+);G73.2  / Otros síndromes miasténicos en enfermedad neopl sica (C00-D48+)Xx
TRASTORNOS NEUROMUSCULARES ( G70-73);SINDROMES MIASTENICOS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;G73.3  / Síndromes miasténicos en otras enfermedades clasificadas en otra parteXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIA EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE;G73.4  / Miopatía en enfermedades infecciosas y parasitarias clasificadas en otra parteXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIA EN ENFERMEDADES ENDOCRINAS;G73.5  / Miopatía en enfermedades endocrinasXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIA EN ENFERMEDADES METABOLICAS;G73.6  / Miopatía en enfermedades metabólicasXx
TRASTORNOS NEUROMUSCULARES ( G70-73);MIOPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;G73.7  / Miopatía en otras enfermedades clasificadas en otra parteXx
PARALISIS CEREBRAL ( G80-83);PARALISIS CEREBRAL INFANTIL;G80  / Parálisis cerebral infantilXx
PARALISIS CEREBRAL ( G80-83);PARALISIS CEREBRAL ESPASTICA;G80.0  / Parálisis cerebral espásticaXx
PARALISIS CEREBRAL ( G80-83);DIPLEJIA ESPASTICA;G80.1 / Diplejía espásticaXx
PARALISIS CEREBRAL ( G80-83);HEMIPLEJIA INFANTIL;G80.2  / Hemiplejía infantilXx
PARALISIS CEREBRAL ( G80-83);PARALISIS CEREBRAL DISCINETICA;G80.3  / Parálisis cerebral discinéticaXx
PARALISIS CEREBRAL ( G80-83);PARALISIS CEREBRAL ATAXICA;G80.4  / Parálisis cerebral atáxicaXx
PARALISIS CEREBRAL ( G80-83);OTROS TIPOS DE PARALISIS CEREBRAL INFANTIL;G80.8  / Otros tipos de parálisis cerebral infantilXx
PARALISIS CEREBRAL ( G80-83);PARALISIS CEREBRAL INFANTIL, SIN OTRA ESPECIFICACION;G80.9  / Parálisis cerebral infantil, sin otra especificaciónXx
PARALISIS CEREBRAL ( G80-83);HEMIPLEJIA;G81  / HemiplejíaXx
PARALISIS CEREBRAL ( G80-83);HEMIPLEJIA FLACIDA;G81.0  / Hemiplejía flácidaXx
PARALISIS CEREBRAL ( G80-83);HEMIPLEJIA ESPASTICA;G81.1  / Hemiplejía espásticaXx
PARALISIS CEREBRAL ( G80-83);HEMIPLEJIA, NO ESPECIFICADA;G81.9  / Hemiplejía, no especificadaXx
PARALISIS CEREBRAL ( G80-83);PARAPLEJIA Y CUADRIPLEJIA;G82  / Paraplejía y cuadriplejíaXx
PARALISIS CEREBRAL ( G80-83);PARAPLEJIA FLACIDA;G82.0 / Paraplejía flácidaXx
PARALISIS CEREBRAL ( G80-83);PARAPLEJIA ESPASTICA;G82.1  / Paraplejía espásticaXx
PARALISIS CEREBRAL ( G80-83);PARAPLEJIA, NO ESPECIFICADA;G82.2 / Paraplejía, no especificadaXx
PARALISIS CEREBRAL ( G80-83);CUADRIPLEJIA FLACIDA;G82.3 / Cuadriplejía flácidaXx
PARALISIS CEREBRAL ( G80-83);CUADRIPLEJIA ESPASTICA;G82.4  / Cuadriplejía espásticaXx
PARALISIS CEREBRAL ( G80-83);CUADRIPLEJIA, NO ESPECIFICADA;G82.5  / Cuadriplejía, no especificadaXx
PARALISIS CEREBRAL ( G80-83);OTROS SINDROMES PARALITICOS;G83  / Otros síndromes paralíticosXx
PARALISIS CEREBRAL ( G80-83);DIPLEJIA DE LOS MIEMBROS SUPERIORES;G83.0  / Diplejía de los miembros superioresXx
PARALISIS CEREBRAL ( G80-83);MONOPLEJIA DE MIEMBRO INFERIOR;G83.1 / Monoplejía de miembro inferiorXx
PARALISIS CEREBRAL ( G80-83);MONOPLEJIA DE MIEMBRO SUPERIOR;G83.2  / Monoplejía de miembro superiorXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);MONONEUROPATIAS DEL MIEMBRO SUPERIOR;G56 / Mononeuropatías del miembro superiorXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);SINDROME DEL  TUNEL  CARPIANO;G56.0  / Síndrome del túnel carpianoXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);Otras lesiones del nervio mediano;G56.1  / Otras lesiones del nervio medianoXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);LESION DEL NERVIO CUBITAL;G56.2  / Lesión del nervio cubitalXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);LESION DEL NERVIO RADIAL;G56.3 / Lesión del nervio radialXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);Causalgia;G56.4  / CausalgiaXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);OTRAS MONONEUROPATIAS DEL MIEMBRO SUPERIOR;G56.8 / Otras mononeuropatías del miembro superiorXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);MONONEUROPATIA DEL MIEMBRO SUPERIOR, SIN OTRA ESPECIFICACION;G56.9 / Mononeuropatía del miembro superior, sin otra especificaciónXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);MONONEUROPATIAS DEL MIEMBRO INFERIOR;G57 / Mononeuropatías del miembro inferiorXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);LESION DEL NERVIO CIATICO;G57.0  / Lesión del nervio ciáticoXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);MERALGIA PARESTESICA. SINDROME DE BERNHARDT;G57.1  / Meralgia parestésica. Síndrome de BernhardtXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);LESION DEL NERVIO CRURAL;G57.2  / Lesión del nervio cruralXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);LESION DEL NERVIO CIATICO POPLITEO EXTERNO;G57.3 / Lesión del nervio ciático poplíteo externoXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);LESION DEL NERVIO CIATICO POPLITEO INTERNO;G57.4 / Lesión del nervio ciático poplíteo internoXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);SINDROME DEL TUNEL CALCANEO;G57.5 / Síndrome del túnel calcáneoXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);LESION DEL NERVIO PLANTAR;G57.6 / Lesión del nervio plantarXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);OTRAS MONONEUROPATIAS DEL MIEMBRO INFERIOR;G57.8  / Otras mononeuropatías del miembro inferiorXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);MONONEUROPATIA DEL MIEMBRO INFERIOR, SIN OTRA ESPECIFICACION;G57.9 / Mononeuropatía del miembro inferior, sin otra especificaciónXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);OTRAS MONONEUROPATIAS;G58  / Otras mononeuropatíasXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);NEUROPATIA INTERCOSTAL;G58.0  / Neuropatía intercostalXx
TRASTORNOS LOCALIZADOS DE LOS NERVIOS (G50-G59);MONONEURITIS MULTIPLE;G58.7 / Mononeuritis múltipleXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Coriorretinitis diseminada;H30.1  / Coriorretinitis diseminadaXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Ciclitis posterior;H30.2 / Ciclitis posteriorXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Otras coriorretinitis;H30.8 / Otras coriorretinitisXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Coriorretinitis, no especificada;H30.9  / Coriorretinitis, no especificadaXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Otros trastornos de la coroides;H31  / Otros trastornos de la coroidesXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Cicatrices coriorretinianas;H31.0 / Cicatrices coriorretinianasXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );DEGENERACION COROIDEA;H31.1  / Degeneración coroideaXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Distrofia coroidea hereditaria;H31.2  / Distrofia coroidea hereditariaXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Hemorragia y ruptura de la coroides;H31.3  / Hemorragia y ruptura de la coroidesXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Desprendimiento de la coroides;H31.4  / Desprendimiento de la coroidesXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Otros trastornos especificados de la coroides;H31.8 / Otros trastornos especificados de la coroidesXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Trastorno de la coroides, no especificado;H31.9  / Trastorno de la coroides, no especificadoXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Trastornos coriorretinianos en enfermedades clasificadas en otra parte;H32 / Trastornos coriorretinianos en enfermedades clasificadas en otra parteXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Inflamación coriorretiniana en enfermedades infecciosas y parasitarias clasificadas en otra parte;H32.0 / Inflamación coriorretiniana en enfermedades infecciosas y parasitarias clasificadas en otra parteXx
AFFECCIONES DEL INTERIOR DEL OJO Y DE LA RETINA ( H30-H36 );Otros trastornos coriorretinianos en enfermedades clasificadas en otra parte;H32.8 / Otros trastornos coriorretinianos en enfermedades clasificadas en otra parteXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );Queratoconjuntivitis;H16.2 / QueratoconjuntivitisXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );Queratitis intersticial y profunda;H16.3 / Queratitis intersticial y profundaXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );NEOVASCULARIZACION DE LA CORNEA;H16.4  / Neovascularización de la córneaXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );Otras queratitis;H16.8 / Otras queratitisXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );Queratitis, no especificada;H16.9  / Queratitis, no especificadaXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );Opacidades y cicatrices corneales;H17 / Opacidades y cicatrices cornealesXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );Leucoma adherente;H17.0 / Leucoma adherenteXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );OTRAS OPACIDADES CENTRALES DE LA CORNEA;H17.1  / Otras opacidades centrales de la córneaXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );OTRAS OPACIDADES O CICATRICES DE LA CORNEA;H17.8 / Otras opacidades o cicatrices de la córneaXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );CICATRIZ U OPACIDAD DE LA CORNEA, NO ESPECIFICADA;H17.9  / Cicatriz u opacidad de la córnea, no especificadaXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );OTROS TRASTORNOS DE LA CORNEA;H18 / Otros trastornos de la córneaXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );PIGMENTACIONES Y DEPOSITOS EN LA CORNEA;H18.0  / Pigmentaciones y depósitos en la córneaXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );QUERATOPATIA VESICULAR;H18.1 / Queratopatía vesicularXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );OTROS EDEMAS DE LA CORNEA;H18.2 / Otros edemas de la córneaXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );CAMBIOS EN LAS MEMBRANAS DE LA CORNEA;H18.3  / Cambios en las membranas de la córneaXx
AFFECCIONES DE LA ESCLERÓTIDA, CORNEA, IRIS Y CUERPOS CILIARES (H15-H22 );DEGENERACION DE LA CORNEA;H18.4 / Degeneración de la córneaXx
